id,name,parent_album,place_in_tracklist,featuring,parent_artist
416,Dark Horse,34,6,Juicy J,17
417,This Is How We Do,34,7,,17
418,International Smile,34,8,,17
419,Ghost,34,9,,17
420,Love Me,34,10,,17
421,This Moment,34,11,,17
422,Double Rainbow,34,12,,17
423,By the Grace of God,34,13,,17
424,Wild,35,1,,38
425,Bite,35,2,,38
426,Fools,35,3,,38
427,Ease,35,4,Broods,38
428,The Quiet,35,5,,38
429,DKLA,35,6,Tkay Maidza,38
430,Talk Me Down,35,7,,38
431,Cool,35,8,,38
432,Heaven,35,9,Betty Who,38
433,Youth,35,10,,38
434,Lost Boy,35,11,,38
435,For Him.,35,12,Allday,38
436,Suburbia,35,13,,38
437,Too Good,35,14,,38
438,Blue,35,15,Alex Hope,38
439,Honeymoon Avenue,36,1,,4
440,Baby I,36,2,,4
441,Right There,36,3,Big Sean,4
442,Tattooed Heart,36,4,,4
443,Lovin' It,36,5,,4
444,Piano,36,6,,4
445,Daydreamin',36,7,,4
446,The Way,36,8,Mac Miller,4
447,You'll Never Know,36,9,,4
448,Almost is Never Enough,36,10,Nathan Sykes do The Wanted,4
449,Popular Song,36,11,Mika,4
450,Better Left Unsaid,36,12,,4
451,Bad Guy,37,1,,6
452,Xanny,37,2,,6
453,You Should See Me in a Crown,37,3,,6
454,All the Good Girls Go to Hell,37,4,,6
455,Wish You Were Gay,37,5,,6
456,When the Party's Over,37,6,,6
457,8,37,7,,6
458,My Strange Addiction,37,8,,6
459,Bury a Friend,37,9,,6
460,Ilomilo,37,10,,6
461,Listen Before I Go,37,11,,6
462,I Love You,37,12,,6
463,Goodbye,37,13,,6
464,GTFO,38,1,,26
465,With You,38,2,,26
466,Caution,38,3,,26
467,A No No,38,4,,26
468,The Distance,38,5,Ty Dolla Sign,26
469,Giving Me Life,38,6,"Slick Rick, Blood Orange",26
470,One Mo' Gen,38,7,,26
471,8th Grade,38,8,,26
472,Stay Long Love You,38,9,Gunna,26
473,Portrait,38,10,,26
474,Hung Up,39,1,,25
475,Get Together,39,2,,25
476,Sorry,39,3,,25
477,Future Lovers,39,4,,25
478,I Love New York,39,5,,25
479,Let It Will Be,39,6,,25
480,Forbidden Love,39,7,,25
481,Jump,39,8,,25
482,How High,39,9,,25
483,Isaac,39,10,,25
484,Push,39,11,,25
485,Like It or Not,39,12,,25
486,Consideration,40,1,SZA,31
487,James Joint,40,2,,31
488,Kiss It Better,40,3,,31
489,Work,40,4,Drake,31
490,Desperado,40,5,,31
491,Woo,40,6,,31
492,Needed Me,40,7,,31
493,"Yeah, I Said It",40,8,,31
494,Same Ol' Mistakes,40,9,,31
495,Never Ending,40,10,,31
496,Love on the Brain,40,11,,31
497,Higher,40,12,,31
498,Close to You,40,13,,31
499,Goodnight Gotham,40,14,,31
500,Pose,40,15,,31
501,Sex with Me,40,16,,31
502,Ginga,41,1,Rincon Sapiência,14
503,Bateu,41,2,Ruxell,14
504,Pesadão,41,3,Marcelo Falcão,14
505,Corda Bamba,41,4,Ivete Sangalo,14
506,Rebola,41,5,"Carlinhos Brown, Gloria Groove",14
507,Saudade Daquilo,41,6,,14
